,,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
???????????????????????????????,??????-??????,"811,523","263,295","3,007,850","4,859,388","4,752,767","4,489,857","4,344,339","4,283,126","3,988,016","3,810,257","2,669,895"
,??????-????????,"996,205","222,755","90,083","3,395,313","3,463,076","3,277,133","3,144,343","2,960,834","2,635,652","2,754,466","2,151,946"
,???????-???????,"1,686,032","157,805","335,806","2,439,657","2,394,823","2,512,779","2,406,122","2,310,859","2,070,298","1,936,024","1,510,787"
,??????-???????,"2,273,711","592,625","595,090","3,882,108","3,798,546","3,733,094","3,515,854","3,648,465","3,264,637","3,459,297","2,496,670"
,??????????,"5,767,471","1,236,480","4,028,829","14,576,466","14,409,212","14,012,863","13,410,658","13,203,284","11,958,603","11,960,044","8,829,298"
,,,,,,,,,,,,
,,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
?????? (???????),??????-??????,"22,480.47","2,597.24","101,818.07","151,429.37","156,954.77","147,906.63","141,045.18","114,566.51","101,049.37","98,827.25","75,216.05"
,??????-????????,"27,905.42","2,376.91","1,394.87","94,031.00","99,846.27","89,048.00","77,833.84","63,596.76","50,148.16","51,201.83","43,227.64"
,???????-???????,"67,216.24","4,486.52","4,034.54","60,011.40","58,113.78","59,014.15","50,820.61","41,541.52","26,265.55","24,260.01","22,288.95"
,??????-???????,"74,437.86","12,275.06","5,925.67","137,418.90","134,185.91","127,044.07","108,178.46","93,300.84","81,827.42","86,153.05","59,087.54"
,??????????,"192,039.99","21,735.73","113,173.15","442,890.67","449,100.73","423,012.85","377,878.09","313,005.63","259,290.50","260,442.14","199,820.18"
